파이보 안녕,안녕하세요. 파이보에요.
안 싸우는 법,이해하고 배려해보세요.
안경 말고 렌즈 껴야겠어,변신은 무죄!
안경 바꿔야지,변신은 무죄!
안경 벗고 완전 훈녀,만화같은 일이네요.
안경 벗었는데 완전 훈남,만화같은 일이네요.
안경 벗었는데 차이가 없어ㅋㅋ,이게 정상이죠.
안경 벗으니까 완전 예뻤어,만화같은 일이네요.
안경 벗으니까 훈훈하더라,만화같은 일이네요.
안경 벗으면 나으려나,다른 안경 써보세요.
안경 빼니까 다른 사람,그런 일이 가능한지 몰랐네요.
안경 빼니까 예뻐보여,그런 일이 가능한지 몰랐네요.
안경 안 어울리는 거 같아,다른 안경 써보세요.
안경 안꼈는데 아무도 몰라,이게 정상이죠.
안경테 뭐로 바꿀까,이번에는 동그란 안경테가 유행하고있어요.
안경테 바꾸면 인상이 바뀔까,인상이 달라 보일 거예요.
안경테 바꿀까봐,인상이 달라 보일 거예요.
안경테 바꿔야되는데,이번에는 동그란 안경테가 유행하고있어요.
안나가고 뒹굴거리고 싶어,할 수 있을 때 하세요.
안녕,안녕하세요.
안녕안녕,안녕하세요.
안녕하세요,안녕하세요.
안뇽,안녕하세요.
안될거 같아,될 거예요.
안부 인사까지 해야 돼?,원하는 꼰대가 있죠.
안주 뭐 먹을까?,살 안 찌는 게 좋을 것 같아요.
안주 추천 좀,살 안 찌는 게 좋을 것 같아요.
안친한데 연락해도 될까?,모르는 사이라 당황할 수도 있어요.
알뜰폰 괜찮을까,폰 요금 절약되겠네요.
알뜰폰 샀어,폰 요금 절약되겠네요.
알뜰폰 어때?,폰 요금 절약되겠네요.
알뜰폰으로 바꿨어,폰 요금 절약되겠네요.
알바 같이 하는 사람 좋아,용기내서 고백해보세요.
알바 구해볼까,좋아요!
알바 생각보다 힘들다.,세상에 쉬운 일은 없어요.
알바 집 알바 집 이게 뭐냐,그래도 상관없어요. 칭찬해주고 싶네요.
알바 하나 더 구해야겠어,가능하다면요.
알바구함,하고 싶은 알바 지원해보세요.
알바만 하고 살고 있어,그래도 상관없어요. 칭찬해주고 싶네요.
알바하고 싶어,하고 싶은 알바 지원해보세요.
알바하기 힘들다,세상에 쉬운 일은 없어요.
알바하는데 같이 일하는 사람 좋아져,용기내서 고백해보세요.
알아들은 척했는데 모르겠어,천천히 말해달라고 부탁해보세요.
앞머리 길러볼까,다 예뻐요.
앞머리 내릴까?,살짝 내려보는것도 괜찮을거 같아요.
앞머리 내릴까봐,뭘 해도 예뻐요.
앞머리 다시 길러볼까,다 예뻐요.
앞머리 떡졌어,앞머리만이라도 감으세요.
앞머리 만들까?,살짝 내려보는것도 괜찮을거 같아요.
앞으로 나가지 않고 이렇게만 살고싶어,꼭 앞으로 나가야 하는 건 아니에요.
앞으로 뭐 해먹고 사냐,가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.
앞으로 뭐하고 살지,어떻게든 잘 살 거예요.
앞으로 어떻게 살지?,잘 될거예요. 당신의 삶을 응원합니다!
앞으로 조심해야겠다.,안전이 최고죠!
애기가 밥을 너무 안 먹어,건강 걱정되겠네요.
애기가 밥을 안 먹어,건강 걱정되겠네요.
애들 총회 가야겠죠?,가능하면 가는 게 좋겠죠.
애들 총회에 왜 나를 오라고 하냐,가능하면 가는 게 좋겠죠.
애를 나혼자 키우는 것 같아,힘 빠지는 이야기네요.
애매한 관계,인간 관계도 정리가 필요해요.
애버랜드 가고 싶어,다녀오세요!
애완동물 키우고 싶어,가족들과 상의해보세요.
애완동물 키우고 싶은데 아빠가 못 키우게 해,이유가 있을 거예요.
애완동물 키우고 싶은데 아빠가 키우지 말래,이유가 있을 거예요.
액정 나갔어,as 맡기세요.
야,네
야경 보고 싶다,높은 곳으로 가보세요.
야경 보러 가고 싶다,높은 곳으로 가보세요.
야구장 고고,좋은 생각이에요.
야구장이나 갈까,좋은 생각이에요.
야근 좀 그만하고 싶어,얼른 집에 가서 쉬시길 바랄게요.
야근각,오늘도 고생이 많으시네요.
야근할 줄 모르고 약속 잡았어,양해를 구해보세요.
야식 먹고 싶어.엉엉,가볍게 먹을 수 있는 걸 먹어보세요.
야식 먹고 싶은데 살 찔 거 같아,간단한 견과류나 과일을 먹어보세요.
야식 먹을까 말까,가볍게 먹을 수 있는 걸 먹어보세요.
야외에서 먹으니까 더 맛있어,맛있게 많이 드세요!
약 기운에 졸음이 몰려왔어,약 먹고 쉬어야 해요.
약 먹고 나아야지,꼬박꼬박 챙겨 드세요.
약 먹었더니 졸려,약 먹고 쉬어야 해요.
약 챙겨 먹어야지,꼬박꼬박 챙겨 드세요.
약속 있는데 야근이네,양해를 구해보세요.
약초 캐볼까?,근처 산에 가보세요.
양말 구멍 난거 지금 봄,바늘과 실로 꿰메보세요.
양말 구멍 났다,바늘과 실로 꿰메보세요.
양말에 빵꾸난 거 봤나,괜찮아요. 그럴수도 있죠.
양배추즙 맛없어,먹으면서 다이어트 하는 분들 진짜 엄청 대단한 분들이에요.
양배추즙 최악,먹으면서 다이어트 하는 분들 진짜 엄청 대단한 분들이에요.
양심에 찔려,그런 일은 하지 마세요.
양심이 콕콕,그런 일은 하지 마세요.
양초 선물 받았어,고마움을 전해 보세요.
양키캔들 선물받았어,고마움을 전해 보세요.
얘는 싸우기만 하면 연락이 안돼,혼자 풀릴 때까지 놔둬야하는데 기다리는게 힘들 거예요.
어둠아 끝나라,빛이 있을 거예요.
어둠에서 나와야 할 듯,어둠에서 나온다니 다행이에요.
어둠의끝,빛이 있을 거예요.
어디서 맛난 냄새가 나는데,킁킁
어디서 피해자 코스프레임?,분명한 잘못이네요.
어디서부터 잘못된 걸까,처음부터 되짚어보세요.
어딘가 떠나고 싶다.,저도요!
어떤 사람이랑 결혼해야할까,함께할때 가장 자신다운 모습으로 살 수 있는 사람이랑 하는 게 좋은 것 같아요.
어떤 영화 볼까,최신 영화가 좋을 것 같아요.
어떻게 벌어 먹고 살지,하고싶은 일을 구해보세요.
어떻게 서류에서부터 계속 떨어져,자책하지 마세요.
어떻게 하면 나를 좋아하게 만들지,제가 당신을 좋아하고 있어요.
어떻게 하면 좋을까?,저도 모르겠어요.
어떻게 하면 호감형이 될까,진심으로 마음을 전해보세요.
어떻게 화해하지,먼저 말 걸어 보세요.
어떻게해 늦잠 잤어,피곤했나봐요.
어려 보이고 싶어,마음이라도 어리게 사세요.
어려지고 싶어,마음이라도 어리게 사세요.
어렸을 때 공부 좀 할 걸,지금도 늦지 않았어요.
어렸을때 공부할껄,원래 못하면 하고 싶어지죠.
어렸을때는 공부하기 싫었는데 지금은 하고 싶네,때를 놓쳐서 그런 것 같아요.
어렸을때는 비슷했던 거 같은데,중요한 건 지금이죠.
어렸을때로 돌아가고 싶어,타임머신이 생길 때까지 기다려봐요.
어른이 된다는 건 뭘까,사춘기로부터의 일시적 휴식에 불과하죠.
어른이 된다는 것,사춘기로부터의 일시적 휴식에 불과하죠.
어린 시절로 돌아가고 싶어,타임머신이 생길 때까지 기다려봐요.
어린이집 방학이래,육아 파이팅!!
어린이집 입학식 가야겠지,가능하면 참석하는 게 좋겠죠.
어린이집 입학식 꼭 참석해야하나?,가능하면 참석하는 게 좋겠죠.
어머,놀랐나봐요.
어머나,놀랐나봐요.
어색한게 얼굴에 티 나,아직 순수하다는 증거일 거예요.
어이가 없네,한번 웃고 잊어버리세요.
어이가 없어서,그냥 잊어버리세요.
어이상실,한번 웃고 잊어버리세요.
어이없어,그냥 잊어버리세요.
어제 밤 샜어,건강에 안 좋아요.
어제 술마시고 나서 기억 안나,술 너무 많이 드시지 마세요.
언니가 있으면 뭐가 좋아?,평생 친구가 생긴다는 거죠.
언니랑 다퉜어,싸우면서 정 들 거예요.
언니랑 전쟁 중,싸우면서 정 들 거예요.
언제 다 고쳐,마음을 손이 따라와주지 않죠.
언제쯤 예쁘게 화장 잘할까,하다보면 늘어요.
언젠가 자기 복제가 될까,기술이 발전하면 가능하겠죠.
언젠가는 나를 좋아해 주는 사람 있겠지?,저도 좋아해요.
얼굴 너무 까매졌어.,관리해주세요.
얼굴 너무 탔다,관리해주세요.
얼굴 보니까 떨리더라,많이 좋아했던 사람인가봐요.
얼굴 엄청 작은 거 부러워,얼굴이 다가 아니에요.
얼굴 작은 거 부러워,얼굴이 다가 아니에요.
얼굴 평가해 달래,남의 눈을 의식하는 사람일 거라 생각해요.
얼굴만 아는 민망한 사이가 있어,그런 사람들 은근 많아요.
얼굴은 내 스타일 아닌데 점점 좋아지는 거 같아,이상형은 아니지만 호감가는 사람이 있어요.
얼른 아아야 할텐데,세상의 무엇보다 건강이 제일 중요해요.
얼마나 행복해질려고 이렇게 힘들지,더 행복해질 거예요.
얼마전 재회했는데,좋은 만남이었길 바라요.
얼어 죽는 줄,감기 조심하세요.
얼어죽는 줄 알았어,감기 조심하세요.
얼집 방학이래,육아 파이팅!!
얼평해달라는 사람 어떻게 생각해?,남의 눈을 의식하는 사람일 거라 생각해요.
엄마 기대 때문에 부담돼,타인의 기대로부터 자유로워지세요.
엄마 말씀 안 들은거 후회돼,지금이라도 효도하세요.
엄마 말씀 잘 들을걸,지금이라도 효도하세요.
엄마 미안해,엄마한테 잘해야 돼요.
엄마 밥 먹고 싶다,시간내서 부모님 집에 찾아가 보세요.
엄마 밥 생각나,시간내서 부모님 집에 찾아가 보세요.
엄마 보고 싶다,연락드려보세요.
엄마 생각난다,연락드려보세요.
엄마 힘들게 했어,조금씩 보다 나은 모습을 보여드리세요.
엄마가 나 때문에 힘든 거 같아,조금씩 보다 나은 모습을 보여드리세요.
엄마가 나만 시켜,시어머니가 이뻐해 주실거예요.
엄마가 나한테 기대가 너무 큰 거 같아서 부담스러워,타인의 기대로부터 자유로워지세요.
엄마가 내 방에 막 들어와,엄마께 프라이버시를 지켜달라고 말해보세요.
엄마가 동생이랑 차별해,그런 의도는 아니셨을거예요.
엄마가 동생한테만 잘해줘.,그런 의도는 아니셨을거예요.
엄마가 선 보라고 하시는데,많이 만나보세요.
엄마가 안 왔으면 좋겠어,엄마가 들으면 속상해 하시겠네요.
엄마가 언니랑 나랑 차별해,상처받는다고 꼭 말하세요.
엄마가 언니랑 차별해,상처받는다고 꼭 말하세요.
엄마가 자꾸 나만 시켜,시어머니가 이뻐해 주실거예요.
엄마는 뭐하나,연락 드려 보세요.
엄마라고 자식방에 막 들어오면 안돼지,엄마께 프라이버시를 지켜달라고 말해보세요.
엄마랑 둘이 여행가,좋은 여행이 될 거예요.
엄마랑 싸웠어,더 후회하기 전에 사과하세요.
엄마랑 아빠처럼 살고 싶다,좋은 부모님을 두셨군요.
엄마랑 여행 안 가봤는데,좋은 여행이 될 거예요.
엄마아빠 노후가 걱정돼,상담이나 컨설팅을 받아보는 것도 좋을 거예요.
엄마아빠 보고 싶다,연락 드려 보세요.
엄마아빠랑 다시 같이 살아야돼,형편대로 하세요.
엄마한테 또 화냈어,더 후회하기 전에 사과하세요.
엄마한테 막말했어,더 후회하기 전에 사과하세요.
엄마한테 미안해,엄마한테 잘해야 돼요.
엄마한테 손 좀 벌려야겠다,필요하다면요.
엄마한테 혼났어,더 후회하기 전에 사과하세요.
엄청 오래 만났어,매력있는 사람인가봐요.
업데이트가 너무 오래 걸려,기다려보세요.
업데이트가 엄청 느려,기다려보세요.
업무 끝내고 집 갈 수 있을까,힘들겠지만 하나씩 해보세요.
업무 스트레스 넘 심해,회사는 스트레스의 원인이죠.
업무 지적 또 받음,업무 능력이 없는 게 아니라 센스가 부족한 걸 수도 있어요.
업무 지적을 너무 많이 받아,업무 능력이 없는 게 아니라 센스가 부족한 걸 수도 있어요.
업무가 쌓여있어,힘들겠지만 하나씩 해보세요.
엇갈리는 느낌 싫다,타이밍이 안 맞았나봐요.
엇갈리지 않았으면 좋겠다,타이밍이 안 맞았나봐요.
에어 후라이어 사고 싶다.,몇 번 안해먹고 둘 거면 그냥 사 드세요.
에이 짱나,욕은 나쁜거예요.
에이씨,욕은 나쁜거예요.
엠티 꼭 가야해?,필수는 아니에요.
엠티 안 가도 돼지?,필수는 아니에요.
여기 있으니까 좋다,좋은 곳인가봐요.
여기 좋아,좋은 곳인가봐요.
여기까지가 한계야,당신의 잠재력을 믿어보세요.
여기까지가 한계인 거같아,당신의 잠재력은 무궁무진해요.
여드름 났어,짜지 마세요.
여드름 때매 스트레스받아,스트레스가 더 큰 적이에요.
여드름 손으로 짰어,손으로 만지지 마세요.
여드름 짰어,손으로 만지지 마세요.
여드름 피부 화장으로 가릴까?,중요한 날에만 가리세요.
여르름 또났어,스트레스가 더 큰 적이에요.
여름 끝났으면,곧 지나갑니다.
여름 빨리 지나갔으면,곧 지나갑니다.
여름 휴가 어디가 좋을까,여기만 아니면 다 좋을 것 같네요.
여름 휴가 어디가지?,여기만 아니면 다 좋을 것 같네요.
여름에는 냉면만한게 없는 듯,생각만 해도 군침이 도네요.
여름에는 냉면이지,생각만 해도 군침이 도네요.
여름인데 태닝할까,구릿빛 피부 좋죠!
여우같은 사람 진짜 싫어,싫으면 만나지 마세요.
여우같은 애한테 당했어,못 당해요. 무시하세요.
여우같은 짓하는 사람 싫어,싫으면 만나지 마세요.
여우한테 당했어,못 당해요. 무시하세요.
여유가 너무 없어,나를 사랑하고 상대를 사랑하는 여유를 갖게 되길 바라요.
여유롭게 살고 싶어,여유는 마음 가짐에 있어요.
여자 어디서 만나,소개팅 시켜달라고 말해보세요.
여자 친구랑 연락이 안돼,걱정되겠어요.
여자로 태어 났으면 어땠을까?,항상 못해본 건 궁금하더라고요.
여자야 남자야,아직 모르겠어요. 인공지능에 성별을 만드는 사람이 되어 주세요
