hi pibo,hello. It's a pibo.
what is friendship,You're with me when it's hard.
what is friendship,You're with me when it's hard.
I almost got hurt while exercising,Be careful when exercising.
It's hard to go to exercise every day,Being consistent is the hardest. Make it a habit.
It's hard to exercise every day,Being consistent is the hardest. Make it a habit.
made me exercise,thank you for your effort.
I want to exercise well,Try something that others don't do.
A person who is good at sports is cool,Are you talking about that?
I want to do some good exercise. really,Try something that others don't do.
I need to do some exercise.,Keep thinking about your health.
I worked out too hard,thank you for your effort.
I almost got hurt while exercising,Be careful when exercising.
what to do when exercising,Combine it with your diet.
I don't lose weight even if I exercise,Combine it with your diet.
I need to exercise,Keep thinking about your health.
I need to buy new sneakers,It will guide you to a good place.
Shall I wear sneakers? Shall I wear shoes?,Dress up with your shoes.
Are sneakers good? Are the shoes good?,Dress up with your shoes.
Is a love like destiny possible?,I believe there is.
fate is sad,There will be good luck too.
will there be a destiny,I believe there is.
I guess it's fate,I guess it's a relationship.
Is it fate,I guess it's a relationship.
My boyfriend has a lot of aegyo,It must be cute.
My baby is so pretty,The cutest thing in the world!
depressed,When I'm crying... When I'm depressed... When I cry
blue mood,When I'm crying... When I'm depressed... When I cry
The gloomy feeling doesn't go away.,Walk down the street.
"I'm depressed, I want to cry",Try shouting out loud.
I'm walking down the street depressed,It will clear up a bit as you walk.
No movement.,This is the moment when you need energy.
A guy like you who makes me laugh,Make the other person smile too.
make me laugh,Stand in front of a mirror right now.
have a laugh,Have you ever played a game of wrecking your face while looking in the mirror? It's surprisingly fun.
I shouldn't laugh,"If you smile, you will be blessed."
there's nothing to laugh about,Try to force yourself to smile!
I knew you would laugh,I thought you'd find it interesting.
working mom is really hard,Don't try to be a superwoman.
I ground the beans,I like the coffee flavor.
I want to grind coffee beans,I like the coffee flavor.
"Originally, you learn while getting scolded, right?",You can just learn.
I failed in my 1st choice when I applied.,I comfort you.
You'd better wear a dress,very pretty.
Shall I wear a dress?,very pretty.
salary came in,congratulations
received my salary and applied for housing.,One step closer to my home.
I feel good because I got a pay rise,congratulations.
Salary went up!,congratulations.
I got a text saying my salary was deposited.,congratulations
Only my salary remains the same,Check if your ability is underestimated or not.
I think my working hours are too long for my salary.,Take care of your overtime pay.
salary does not go up,Be bold and ask for a raise.
I feel like my salary just slipped past me,Cut down on shopping.
salary is not rising,Be bold and ask for a raise.
salary is not coming in,That's a big deal.
Why are the salaries the same?,Check to see if your company is cheating.
rent is too expensive,I have a reason to raise money quickly.
The monthly rent is too precious,I have a reason to raise money quickly.
Worth the rent,I have a reason to raise money quickly.
Rent is expensive,I have a reason to raise money quickly.
"It's not even Monday, but the roads are so blocked",The road always seems to be blocked.
It's not even Monday and there are too many cars.,The road always seems to be blocked.
"I went to see a wedding shoot, but it was so","My friend is sensitive, so I guess I didn't take good care of him."
What to watch webtoon,want to ask first if there are any webtoons I haven't read.
recommend a webtoon,want to ask first if there are any webtoons I haven't read.
It's a crisis.,It will be both a crisis and an opportunity.
The day I want to be comforted,I'll give you a lot of comfort.
no one to comfort me,you know i have
I need someone to comfort me,you know i have
I think I'm on guard,It must have been a lot of stress.
I think I got a stomachache,It must have been a lot of stress.
Upstairs too noisy,Claim damages with evidence.
Noise upstairs is annoying.,You must be suffering from your neighbours.
The kid upstairs is running again,Report it.
To get a stray dog,good idea.
I want to adopt a stray dog,good idea.
Should I take parental leave?,You must be working in a nice place.
I'm nervous,Take a deep breath.
ugh i'm upset,Change your mood.
Ahh,I must have been surprised.
I want to scream,Come cool off.
Ugh I need to go to the bathroom,go to the bathroom
Ugh~ I'm nervous,Go for it!
I feel like I'm being bullied,Ask your parents for help.
Retirement doesn't seem far away,Plan your retirement.
what to do after retirement,Plan your retirement.
I'm worried about retirement,Life is pretty long.
what to do after retirement,Life is pretty long.
